,model,celltype,feature,source
0,Malinois,K562,MPRA,MPRA (doi.org/10.1038/s41586-024-08070-z)
1,Malinois,HepG2,MPRA,MPRA (doi.org/10.1038/s41586-024-08070-z)
2,Malinois,SKNSH,MPRA,MPRA (doi.org/10.1038/s41586-024-08070-z)
3,Basset,8988T,DNase-seq,ENCODE
4,Basset,AoSMC,DNase-seq,ENCODE
5,Basset,Chorion,DNase-seq,ENCODE
6,Basset,CLL,DNase-seq,ENCODE
7,Basset,Fibrobl,DNase-seq,ENCODE
8,Basset,FibroP,DNase-seq,ENCODE
9,Basset,Gliobla,DNase-seq,ENCODE
10,Basset,GM12891,DNase-seq,ENCODE
11,Basset,GM12892,DNase-seq,ENCODE
12,Basset,GM18507,DNase-seq,ENCODE
13,Basset,GM19238,DNase-seq,ENCODE
14,Basset,GM19239,DNase-seq,ENCODE
15,Basset,GM19240,DNase-seq,ENCODE
16,Basset,H9ES,DNase-seq,ENCODE
17,Basset,HeLa-S3_IFNa4h,DNase-seq,ENCODE
18,Basset,Hepatocytes,DNase-seq,ENCODE
19,Basset,HPDE6-E6E7,DNase-seq,ENCODE
20,Basset,HSMM_emb,DNase-seq,ENCODE
21,Basset,HTR8svn,DNase-seq,ENCODE
22,Basset,Huh-7.5,DNase-seq,ENCODE
23,Basset,Huh-7,DNase-seq,ENCODE
24,Basset,iPS,DNase-seq,ENCODE
25,Basset,Ishikawa_Estradiol,DNase-seq,ENCODE
26,Basset,Ishikawa_4OHTAM,DNase-seq,ENCODE
27,Basset,LNCaP_androgen,DNase-seq,ENCODE
28,Basset,MCF-7_Hypoxia,DNase-seq,ENCODE
29,Basset,Medullo,DNase-seq,ENCODE
30,Basset,Melano,DNase-seq,ENCODE
31,Basset,Myometr,DNase-seq,ENCODE
32,Basset,Osteobl,DNase-seq,ENCODE
33,Basset,PanIsletD,DNase-seq,ENCODE
34,Basset,PanIslets,DNase-seq,ENCODE
35,Basset,pHTE,DNase-seq,ENCODE
36,Basset,ProgFib,DNase-seq,ENCODE
37,Basset,RWPE1,DNase-seq,ENCODE
38,Basset,Stellate,DNase-seq,ENCODE
39,Basset,T-47D,DNase-seq,ENCODE
40,Basset,CD4_Th0,DNase-seq,ENCODE
41,Basset,Urothelia,DNase-seq,ENCODE
42,Basset,Urothelia_UT189,DNase-seq,ENCODE
43,Basset,AG04449,DNase-seq,ENCODE
44,Basset,AG04450,DNase-seq,ENCODE
45,Basset,AG09309,DNase-seq,ENCODE
46,Basset,AG09319,DNase-seq,ENCODE
47,Basset,AG10803,DNase-seq,ENCODE
48,Basset,AoAF,DNase-seq,ENCODE
49,Basset,BE2_C,DNase-seq,ENCODE
50,Basset,BJ,DNase-seq,ENCODE
51,Basset,Caco-2,DNase-seq,ENCODE
52,Basset,CD20+,DNase-seq,ENCODE
53,Basset,CD34+,DNase-seq,ENCODE
54,Basset,CMK,DNase-seq,ENCODE
55,Basset,GM06990,DNase-seq,ENCODE
56,Basset,GM12864,DNase-seq,ENCODE
57,Basset,GM12865,DNase-seq,ENCODE
58,Basset,H7-hESC,DNase-seq,ENCODE
59,Basset,HAc,DNase-seq,ENCODE
60,Basset,HAEpiC,DNase-seq,ENCODE
61,Basset,HA-h,DNase-seq,ENCODE
62,Basset,HA-sp,DNase-seq,ENCODE
63,Basset,HBMEC,DNase-seq,ENCODE
64,Basset,HCF,DNase-seq,ENCODE
65,Basset,HCFaa,DNase-seq,ENCODE
66,Basset,HCM,DNase-seq,ENCODE
67,Basset,HConF,DNase-seq,ENCODE
68,Basset,HCPEpiC,DNase-seq,ENCODE
69,Basset,HCT-116,DNase-seq,ENCODE
70,Basset,HEEpiC,DNase-seq,ENCODE
71,Basset,HFF,DNase-seq,ENCODE
72,Basset,HFF-Myc,DNase-seq,ENCODE
73,Basset,HGF,DNase-seq,ENCODE
74,Basset,HIPEpiC,DNase-seq,ENCODE
75,Basset,HL-60,DNase-seq,ENCODE
76,Basset,HMF,DNase-seq,ENCODE
77,Basset,HMVEC-dAd,DNase-seq,ENCODE
78,Basset,HMVEC-dBl-Ad,DNase-seq,ENCODE
79,Basset,HMVEC-dBl-Neo,DNase-seq,ENCODE
80,Basset,HMVEC-dLy-Ad,DNase-seq,ENCODE
81,Basset,HMVEC-dLy-Neo,DNase-seq,ENCODE
82,Basset,HMVEC-dNeo,DNase-seq,ENCODE
83,Basset,HMVEC-LBl,DNase-seq,ENCODE
84,Basset,HMVEC-LLy,DNase-seq,ENCODE
85,Basset,HNPCEpiC,DNase-seq,ENCODE
86,Basset,HPAEC,DNase-seq,ENCODE
87,Basset,HPAF,DNase-seq,ENCODE
88,Basset,HPdLF,DNase-seq,ENCODE
89,Basset,HPF,DNase-seq,ENCODE
90,Basset,HRCEpiC,DNase-seq,ENCODE
91,Basset,HRE,DNase-seq,ENCODE
92,Basset,HRGEC,DNase-seq,ENCODE
93,Basset,HRPEpiC,DNase-seq,ENCODE
94,Basset,HVMF,DNase-seq,ENCODE
95,Basset,Jurkat,DNase-seq,ENCODE
96,Basset,Monocytes-CD14+,DNase-seq,ENCODE
97,Basset,NB4,DNase-seq,ENCODE
98,Basset,NH-A,DNase-seq,ENCODE
99,Basset,NHDF-Ad,DNase-seq,ENCODE
100,Basset,NHDF-neo,DNase-seq,ENCODE
101,Basset,NHLF,DNase-seq,ENCODE
102,Basset,NT2-D1,DNase-seq,ENCODE
103,Basset,PANC-1,DNase-seq,ENCODE
104,Basset,PrEC,DNase-seq,ENCODE
105,Basset,RPTEC,DNase-seq,ENCODE
106,Basset,SAEC,DNase-seq,ENCODE
107,Basset,SKMC,DNase-seq,ENCODE
108,Basset,SK-N-MC,DNase-seq,ENCODE
109,Basset,SK-N-SH_RA,DNase-seq,ENCODE
110,Basset,Th2,DNase-seq,ENCODE
111,Basset,WERI-Rb-1,DNase-seq,ENCODE
112,Basset,WI-38,DNase-seq,ENCODE
113,Basset,WI-38_4OHTAM,DNase-seq,ENCODE
114,Basset,A549,DNase-seq,ENCODE
115,Basset,GM12878,DNase-seq,ENCODE
116,Basset,H1-hESC,DNase-seq,ENCODE
117,Basset,HeLa-S3,DNase-seq,ENCODE
118,Basset,HepG2,DNase-seq,ENCODE
119,Basset,HMEC,DNase-seq,ENCODE
120,Basset,HSMM,DNase-seq,ENCODE
121,Basset,HSMMtube,DNase-seq,ENCODE
122,Basset,HUVEC,DNase-seq,ENCODE
123,Basset,K562,DNase-seq,ENCODE
124,Basset,LNCaP,DNase-seq,ENCODE
125,Basset,MCF-7,DNase-seq,ENCODE
126,Basset,NHEK,DNase-seq,ENCODE
127,Basset,Th1,DNase-seq,ENCODE
128,Basset,LNG.IMR90 ,DNase-seq,RoadMap
129,Basset,ESC.H9 ,DNase-seq,RoadMap
130,Basset,ESC.H1 ,DNase-seq,RoadMap
131,Basset,IPSC.DF.6.9 ,DNase-seq,RoadMap
132,Basset,IPSC.DF.19.11 ,DNase-seq,RoadMap
133,Basset,ESDR.H1.NEUR.PROG ,DNase-seq,RoadMap
134,Basset,ESDR.H1.BMP4.MESO ,DNase-seq,RoadMap
135,Basset,ESDR.H1.BMP4.TROP ,DNase-seq,RoadMap
136,Basset,ESDR.H1.MSC ,DNase-seq,RoadMap
137,Basset,BLD.CD3.PPC ,DNase-seq,RoadMap
138,Basset,BLD.CD3.CPC ,DNase-seq,RoadMap
139,Basset,BLD.CD14.PC ,DNase-seq,RoadMap
140,Basset,BLD.MOB.CD34.PC.M ,DNase-seq,RoadMap
141,Basset,BLD.MOB.CD34.PC.F ,DNase-seq,RoadMap
142,Basset,BLD.CD19.PPC ,DNase-seq,RoadMap
143,Basset,BLD.CD56.PC ,DNase-seq,RoadMap
144,Basset,SKIN.PEN.FRSK.FIB.01 ,DNase-seq,RoadMap
145,Basset,SKIN.PEN.FRSK.FIB.02 ,DNase-seq,RoadMap
146,Basset,SKIN.PEN.FRSK.MEL.01 ,DNase-seq,RoadMap
147,Basset,SKIN.PEN.FRSK.KER.02 ,DNase-seq,RoadMap
148,Basset,BRST.HMEC.35 ,DNase-seq,RoadMap
149,Basset,THYM.FET ,DNase-seq,RoadMap
150,Basset,BRN.FET.F ,DNase-seq,RoadMap
151,Basset,BRN.FET.M ,DNase-seq,RoadMap
152,Basset,MUS.PSOAS ,DNase-seq,RoadMap
153,Basset,MUS.TRNK.FET ,DNase-seq,RoadMap
154,Basset,MUS.LEG.FET ,DNase-seq,RoadMap
155,Basset,HRT.FET ,DNase-seq,RoadMap
156,Basset,GI.STMC.FET ,DNase-seq,RoadMap
157,Basset,GI.S.INT.FET ,DNase-seq,RoadMap
158,Basset,GI.L.INT.FET ,DNase-seq,RoadMap
159,Basset,GI.S.INT ,DNase-seq,RoadMap
160,Basset,GI.STMC.GAST ,DNase-seq,RoadMap
161,Basset,KID.FET ,DNase-seq,RoadMap
162,Basset,LNG.FET ,DNase-seq,RoadMap
163,Basset,OVRY ,DNase-seq,RoadMap
164,Basset,ADRL.GLND.FET ,DNase-seq,RoadMap
165,Basset,PLCNT.FET ,DNase-seq,RoadMap
166,Basset,PANC,DNase-seq,RoadMap
167,DanQ,8988T,DNase,ENCODE
168,DanQ,AoSMC,DNase,ENCODE
169,DanQ,Chorion,DNase,ENCODE
170,DanQ,CLL,DNase,ENCODE
171,DanQ,Fibrobl,DNase,ENCODE
172,DanQ,FibroP,DNase,ENCODE
173,DanQ,Gliobla,DNase,ENCODE
174,DanQ,GM12891,DNase,ENCODE
175,DanQ,GM12892,DNase,ENCODE
176,DanQ,GM18507,DNase,ENCODE
177,DanQ,GM19238,DNase,ENCODE
178,DanQ,GM19239,DNase,ENCODE
179,DanQ,GM19240,DNase,ENCODE
180,DanQ,H9ES,DNase,ENCODE
181,DanQ,HeLa-S3,DNase,ENCODE
182,DanQ,Hepatocytes,DNase,ENCODE
183,DanQ,HPDE6-E6E7,DNase,ENCODE
184,DanQ,HSMM_emb,DNase,ENCODE
185,DanQ,HTR8svn,DNase,ENCODE
186,DanQ,Huh-7.5,DNase,ENCODE
187,DanQ,Huh-7,DNase,ENCODE
188,DanQ,iPS,DNase,ENCODE
189,DanQ,Ishikawa,DNase,ENCODE
190,DanQ,Ishikawa,DNase,ENCODE
191,DanQ,LNCaP,DNase,ENCODE
192,DanQ,MCF-7,DNase,ENCODE
193,DanQ,Medullo,DNase,ENCODE
194,DanQ,Melano,DNase,ENCODE
195,DanQ,Myometr,DNase,ENCODE
196,DanQ,Osteobl,DNase,ENCODE
197,DanQ,PanIsletD,DNase,ENCODE
198,DanQ,PanIslets,DNase,ENCODE
199,DanQ,pHTE,DNase,ENCODE
200,DanQ,ProgFib,DNase,ENCODE
201,DanQ,RWPE1,DNase,ENCODE
202,DanQ,Stellate,DNase,ENCODE
203,DanQ,T-47D,DNase,ENCODE
204,DanQ,Adult_CD4_Th0,DNase,ENCODE
205,DanQ,Urothelia,DNase,ENCODE
206,DanQ,Urothelia,DNase,ENCODE
207,DanQ,AG04449,DNase,ENCODE
208,DanQ,AG04450,DNase,ENCODE
209,DanQ,AG09309,DNase,ENCODE
210,DanQ,AG09319,DNase,ENCODE
211,DanQ,AG10803,DNase,ENCODE
212,DanQ,AoAF,DNase,ENCODE
213,DanQ,BE2_C,DNase,ENCODE
214,DanQ,BJ,DNase,ENCODE
215,DanQ,Caco-2,DNase,ENCODE
216,DanQ,CD20+,DNase,ENCODE
217,DanQ,CD34+_Mobilized,DNase,ENCODE
218,DanQ,CMK,DNase,ENCODE
219,DanQ,A549,DNase,ENCODE
220,DanQ,GM12878,DNase,ENCODE
221,DanQ,H1-hESC,DNase,ENCODE
222,DanQ,HeLa-S3,DNase,ENCODE
223,DanQ,HepG2,DNase,ENCODE
224,DanQ,HMEC,DNase,ENCODE
225,DanQ,HSMMtube,DNase,ENCODE
226,DanQ,HSMM,DNase,ENCODE
227,DanQ,HUVEC,DNase,ENCODE
228,DanQ,K562,DNase,ENCODE
229,DanQ,LNCaP,DNase,ENCODE
230,DanQ,MCF-7,DNase,ENCODE
231,DanQ,NHEK,DNase,ENCODE
232,DanQ,Th1,DNase,ENCODE
233,DanQ,GM06990,DNase,ENCODE
234,DanQ,GM12864,DNase,ENCODE
235,DanQ,GM12865,DNase,ENCODE
236,DanQ,H7-hESC,DNase,ENCODE
237,DanQ,HAc,DNase,ENCODE
238,DanQ,HAEpiC,DNase,ENCODE
239,DanQ,HA-h,DNase,ENCODE
240,DanQ,HA-sp,DNase,ENCODE
241,DanQ,HBMEC,DNase,ENCODE
242,DanQ,HCFaa,DNase,ENCODE
243,DanQ,HCF,DNase,ENCODE
244,DanQ,HCM,DNase,ENCODE
245,DanQ,HConF,DNase,ENCODE
246,DanQ,HCPEpiC,DNase,ENCODE
247,DanQ,HCT-116,DNase,ENCODE
248,DanQ,HEEpiC,DNase,ENCODE
249,DanQ,HFF-Myc,DNase,ENCODE
250,DanQ,HFF,DNase,ENCODE
251,DanQ,HGF,DNase,ENCODE
252,DanQ,HIPEpiC,DNase,ENCODE
253,DanQ,HL-60,DNase,ENCODE
254,DanQ,HMF,DNase,ENCODE
255,DanQ,HMVEC-dAd,DNase,ENCODE
256,DanQ,HMVEC-dBl-Ad,DNase,ENCODE
257,DanQ,HMVEC-dBl-Neo,DNase,ENCODE
258,DanQ,HMVEC-dLy-Ad,DNase,ENCODE
259,DanQ,HMVEC-dLy-Neo,DNase,ENCODE
260,DanQ,HMVEC-dNeo,DNase,ENCODE
261,DanQ,HMVEC-LBl,DNase,ENCODE
262,DanQ,HMVEC-LLy,DNase,ENCODE
263,DanQ,HNPCEpiC,DNase,ENCODE
264,DanQ,HPAEC,DNase,ENCODE
265,DanQ,HPAF,DNase,ENCODE
266,DanQ,HPdLF,DNase,ENCODE
267,DanQ,HPF,DNase,ENCODE
268,DanQ,HRCEpiC,DNase,ENCODE
269,DanQ,HRE,DNase,ENCODE
270,DanQ,HRGEC,DNase,ENCODE
271,DanQ,HRPEpiC,DNase,ENCODE
272,DanQ,HVMF,DNase,ENCODE
273,DanQ,Jurkat,DNase,ENCODE
274,DanQ,Monocytes-CD14+_RO01746,DNase,ENCODE
275,DanQ,NB4,DNase,ENCODE
276,DanQ,NH-A,DNase,ENCODE
277,DanQ,NHDF-Ad,DNase,ENCODE
278,DanQ,NHDF-neo,DNase,ENCODE
279,DanQ,NHLF,DNase,ENCODE
280,DanQ,NT2-D1,DNase,ENCODE
281,DanQ,PANC-1,DNase,ENCODE
282,DanQ,PrEC,DNase,ENCODE
283,DanQ,RPTEC,DNase,ENCODE
284,DanQ,SAEC,DNase,ENCODE
285,DanQ,SKMC,DNase,ENCODE
286,DanQ,SK-N-MC,DNase,ENCODE
287,DanQ,SK-N-SH_RA,DNase,ENCODE
288,DanQ,Th2,DNase,ENCODE
289,DanQ,WERI-Rb-1,DNase,ENCODE
290,DanQ,WI-38,DNase,ENCODE
291,DanQ,WI-38,DNase,ENCODE
292,DanQ,Dnd41,CTCF,ENCODE
293,DanQ,Dnd41,EZH2,ENCODE
294,DanQ,GM12878,CTCF,ENCODE
295,DanQ,GM12878,EZH2,ENCODE
296,DanQ,H1-hESC,CHD1,ENCODE
297,DanQ,H1-hESC,CTCF,ENCODE
298,DanQ,H1-hESC,EZH2,ENCODE
299,DanQ,H1-hESC,JARID1A,ENCODE
300,DanQ,H1-hESC,RBBP5,ENCODE
301,DanQ,HeLa-S3,CTCF,ENCODE
302,DanQ,HeLa-S3,EZH2,ENCODE
303,DanQ,HeLa-S3,Pol2(b),ENCODE
304,DanQ,HepG2,CTCF,ENCODE
305,DanQ,HepG2,EZH2,ENCODE
306,DanQ,HMEC,CTCF,ENCODE
307,DanQ,HMEC,EZH2,ENCODE
308,DanQ,HSMM,CTCF,ENCODE
309,DanQ,HSMM,EZH2,ENCODE
310,DanQ,HSMMtube,CTCF,ENCODE
311,DanQ,HSMMtube,EZH2,ENCODE
312,DanQ,HUVEC,CTCF,ENCODE
313,DanQ,HUVEC,EZH2,ENCODE
314,DanQ,HUVEC,Pol2(b),ENCODE
315,DanQ,K562,CHD1,ENCODE
316,DanQ,K562,CTCF,ENCODE
317,DanQ,K562,EZH2,ENCODE
318,DanQ,K562,HDAC1,ENCODE
319,DanQ,K562,HDAC2,ENCODE
320,DanQ,K562,HDAC6,ENCODE
321,DanQ,K562,p300,ENCODE
322,DanQ,K562,PHF8,ENCODE
323,DanQ,K562,PLU1,ENCODE
324,DanQ,K562,Pol2(b),ENCODE
325,DanQ,K562,RBBP5,ENCODE
326,DanQ,K562,SAP30,ENCODE
327,DanQ,NH-A,CTCF,ENCODE
328,DanQ,NH-A,EZH2,ENCODE
329,DanQ,NHDF-Ad,CTCF,ENCODE
330,DanQ,NHDF-Ad,EZH2,ENCODE
331,DanQ,NHEK,CTCF,ENCODE
332,DanQ,NHEK,EZH2,ENCODE
333,DanQ,NHEK,Pol2(b),ENCODE
334,DanQ,NHLF,CTCF,ENCODE
335,DanQ,NHLF,EZH2,ENCODE
336,DanQ,Osteobl,CTCF,ENCODE
337,DanQ,A549,ATF3,ENCODE
338,DanQ,A549,BCL3,ENCODE
339,DanQ,A549,CREB1,ENCODE
340,DanQ,A549,CTCF,ENCODE
341,DanQ,A549,CTCF,ENCODE
342,DanQ,A549,ELF1,ENCODE
343,DanQ,A549,ETS1,ENCODE
344,DanQ,A549,FOSL2,ENCODE
345,DanQ,A549,FOXA1,ENCODE
346,DanQ,A549,GABP,ENCODE
347,DanQ,A549,GR,ENCODE
348,DanQ,A549,GR,ENCODE
349,DanQ,A549,GR,ENCODE
350,DanQ,A549,GR,ENCODE
351,DanQ,A549,NRSF,ENCODE
352,DanQ,A549,p300,ENCODE
353,DanQ,A549,Pol2,ENCODE
354,DanQ,A549,Pol2,ENCODE
355,DanQ,A549,Sin3Ak-20,ENCODE
356,DanQ,A549,SIX5,ENCODE
357,DanQ,A549,TAF1,ENCODE
358,DanQ,A549,TCF12,ENCODE
359,DanQ,A549,USF1,ENCODE
360,DanQ,A549,USF1,ENCODE
361,DanQ,A549,USF1,ENCODE
362,DanQ,A549,YY1,ENCODE
363,DanQ,A549,ZBTB33,ENCODE
364,DanQ,ECC-1,CTCF,ENCODE
365,DanQ,ECC-1,ERalpha,ENCODE
366,DanQ,ECC-1,ERalpha,ENCODE
367,DanQ,ECC-1,ERalpha,ENCODE
368,DanQ,ECC-1,FOXA1,ENCODE
369,DanQ,ECC-1,GR,ENCODE
370,DanQ,ECC-1,Pol2,ENCODE
371,DanQ,GM12878,ATF2,ENCODE
372,DanQ,GM12878,ATF3,ENCODE
373,DanQ,GM12878,BATF,ENCODE
374,DanQ,GM12878,BCL11A,ENCODE
375,DanQ,GM12878,BCL3,ENCODE
376,DanQ,GM12878,BCLAF1,ENCODE
377,DanQ,GM12878,CEBPB,ENCODE
378,DanQ,GM12878,EBF1,ENCODE
379,DanQ,GM12878,Egr-1,ENCODE
380,DanQ,GM12878,ELF1,ENCODE
381,DanQ,GM12878,ETS1,ENCODE
382,DanQ,GM12878,FOXM1,ENCODE
383,DanQ,GM12878,GABP,ENCODE
384,DanQ,GM12878,IRF4,ENCODE
385,DanQ,GM12878,MEF2A,ENCODE
386,DanQ,GM12878,MEF2C,ENCODE
387,DanQ,GM12878,MTA3,ENCODE
388,DanQ,GM12878,NFATC1,ENCODE
389,DanQ,GM12878,NFIC,ENCODE
390,DanQ,GM12878,NRSF,ENCODE
391,DanQ,GM12878,p300,ENCODE
392,DanQ,GM12878,PAX5-C20,ENCODE
393,DanQ,GM12878,PAX5-N19,ENCODE
394,DanQ,GM12878,Pbx3,ENCODE
395,DanQ,GM12878,PML,ENCODE
396,DanQ,GM12878,Pol2-4H8,ENCODE
397,DanQ,GM12878,Pol2,ENCODE
398,DanQ,GM12878,POU2F2,ENCODE
399,DanQ,GM12878,PU.1,ENCODE
400,DanQ,GM12878,Rad21,ENCODE
401,DanQ,GM12878,RUNX3,ENCODE
402,DanQ,GM12878,RXRA,ENCODE
403,DanQ,GM12878,SIX5,ENCODE
404,DanQ,GM12878,SP1,ENCODE
405,DanQ,GM12878,SRF,ENCODE
406,DanQ,GM12878,STAT5A,ENCODE
407,DanQ,GM12878,TAF1,ENCODE
408,DanQ,GM12878,TCF12,ENCODE
409,DanQ,GM12878,TCF3,ENCODE
410,DanQ,GM12878,USF1,ENCODE
411,DanQ,GM12878,YY1,ENCODE
412,DanQ,GM12878,ZBTB33,ENCODE
413,DanQ,GM12878,ZEB1,ENCODE
414,DanQ,GM12891,PAX5-C20,ENCODE
415,DanQ,GM12891,Pol2-4H8,ENCODE
416,DanQ,GM12891,Pol2,ENCODE
417,DanQ,GM12891,POU2F2,ENCODE
418,DanQ,GM12891,PU.1,ENCODE
419,DanQ,GM12891,TAF1,ENCODE
420,DanQ,GM12891,YY1,ENCODE
421,DanQ,GM12892,PAX5-C20,ENCODE
422,DanQ,GM12892,Pol2-4H8,ENCODE
423,DanQ,GM12892,Pol2,ENCODE
424,DanQ,GM12892,TAF1,ENCODE
425,DanQ,GM12892,YY1,ENCODE
426,DanQ,H1-hESC,ATF2,ENCODE
427,DanQ,H1-hESC,ATF3,ENCODE
428,DanQ,H1-hESC,BCL11A,ENCODE
429,DanQ,H1-hESC,CTCF,ENCODE
430,DanQ,H1-hESC,Egr-1,ENCODE
431,DanQ,H1-hESC,FOSL1,ENCODE
432,DanQ,H1-hESC,GABP,ENCODE
433,DanQ,H1-hESC,HDAC2,ENCODE
434,DanQ,H1-hESC,JunD,ENCODE
435,DanQ,H1-hESC,NANOG,ENCODE
436,DanQ,H1-hESC,NRSF,ENCODE
437,DanQ,H1-hESC,p300,ENCODE
438,DanQ,H1-hESC,Pol2-4H8,ENCODE
439,DanQ,H1-hESC,Pol2,ENCODE
440,DanQ,H1-hESC,POU5F1,ENCODE
441,DanQ,H1-hESC,Rad21,ENCODE
442,DanQ,H1-hESC,RXRA,ENCODE
443,DanQ,H1-hESC,Sin3Ak-20,ENCODE
444,DanQ,H1-hESC,SIX5,ENCODE
445,DanQ,H1-hESC,SP1,ENCODE
446,DanQ,H1-hESC,SP2,ENCODE
447,DanQ,H1-hESC,SP4,ENCODE
448,DanQ,H1-hESC,SRF,ENCODE
449,DanQ,H1-hESC,TAF1,ENCODE
450,DanQ,H1-hESC,TAF7,ENCODE
451,DanQ,H1-hESC,TCF12,ENCODE
452,DanQ,H1-hESC,TEAD4,ENCODE
453,DanQ,H1-hESC,USF1,ENCODE
454,DanQ,H1-hESC,YY1,ENCODE
455,DanQ,HCT-116,Pol2-4H8,ENCODE
456,DanQ,HCT-116,YY1,ENCODE
457,DanQ,HCT-116,ZBTB33,ENCODE
458,DanQ,HeLa-S3,GABP,ENCODE
459,DanQ,HeLa-S3,NRSF,ENCODE
460,DanQ,HeLa-S3,Pol2,ENCODE
461,DanQ,HeLa-S3,TAF1,ENCODE
462,DanQ,HepG2,ATF3,ENCODE
463,DanQ,HepG2,BHLHE40,ENCODE
464,DanQ,HepG2,CEBPB,ENCODE
465,DanQ,HepG2,CEBPD,ENCODE
466,DanQ,HepG2,CTCF,ENCODE
467,DanQ,HepG2,ELF1,ENCODE
468,DanQ,HepG2,FOSL2,ENCODE
469,DanQ,HepG2,FOXA1,ENCODE
470,DanQ,HepG2,FOXA1,ENCODE
471,DanQ,HepG2,FOXA2,ENCODE
472,DanQ,HepG2,GABP,ENCODE
473,DanQ,HepG2,HDAC2,ENCODE
474,DanQ,HepG2,HNF4A,ENCODE
475,DanQ,HepG2,HNF4G,ENCODE
476,DanQ,HepG2,JunD,ENCODE
477,DanQ,HepG2,MBD4,ENCODE
478,DanQ,HepG2,MYBL2,ENCODE
479,DanQ,HepG2,NFIC,ENCODE
480,DanQ,HepG2,NRSF,ENCODE
481,DanQ,HepG2,NRSF,ENCODE
482,DanQ,HepG2,p300,ENCODE
483,DanQ,HepG2,Pol2-4H8,ENCODE
484,DanQ,HepG2,Pol2,ENCODE
485,DanQ,HepG2,Rad21,ENCODE
486,DanQ,HepG2,RXRA,ENCODE
487,DanQ,HepG2,Sin3Ak-20,ENCODE
488,DanQ,HepG2,SP1,ENCODE
489,DanQ,HepG2,SP2,ENCODE
490,DanQ,HepG2,SRF,ENCODE
491,DanQ,HepG2,TAF1,ENCODE
492,DanQ,HepG2,TCF12,ENCODE
493,DanQ,HepG2,TEAD4,ENCODE
494,DanQ,HepG2,USF1,ENCODE
495,DanQ,HepG2,YY1,ENCODE
496,DanQ,HepG2,ZBTB33,ENCODE
497,DanQ,HepG2,ZBTB7A,ENCODE
498,DanQ,HUVEC,Pol2-4H8,ENCODE
499,DanQ,HUVEC,Pol2,ENCODE
500,DanQ,K562,ATF3,ENCODE
501,DanQ,K562,BCL3,ENCODE
502,DanQ,K562,BCLAF1,ENCODE
503,DanQ,K562,CBX3,ENCODE
504,DanQ,K562,CEBPB,ENCODE
505,DanQ,K562,CTCF,ENCODE
506,DanQ,K562,CTCFL,ENCODE
507,DanQ,K562,E2F6,ENCODE
508,DanQ,K562,Egr-1,ENCODE
509,DanQ,K562,ELF1,ENCODE
510,DanQ,K562,ETS1,ENCODE
511,DanQ,K562,FOSL1,ENCODE
512,DanQ,K562,GABP,ENCODE
513,DanQ,K562,GATA2,ENCODE
514,DanQ,K562,HDAC2,ENCODE
515,DanQ,K562,Max,ENCODE
516,DanQ,K562,MEF2A,ENCODE
517,DanQ,K562,NR2F2,ENCODE
518,DanQ,K562,NRSF,ENCODE
519,DanQ,K562,PML,ENCODE
520,DanQ,K562,Pol2-4H8,ENCODE
521,DanQ,K562,Pol2,ENCODE
522,DanQ,K562,PU.1,ENCODE
523,DanQ,K562,Rad21,ENCODE
524,DanQ,K562,Sin3Ak-20,ENCODE
525,DanQ,K562,SIX5,ENCODE
526,DanQ,K562,SP1,ENCODE
527,DanQ,K562,SP2,ENCODE
528,DanQ,K562,SRF,ENCODE
529,DanQ,K562,STAT5A,ENCODE
530,DanQ,K562,TAF1,ENCODE
531,DanQ,K562,TAF7,ENCODE
532,DanQ,K562,TEAD4,ENCODE
533,DanQ,K562,THAP1,ENCODE
534,DanQ,K562,TRIM28,ENCODE
535,DanQ,K562,USF1,ENCODE
536,DanQ,K562,YY1,ENCODE
537,DanQ,K562,YY1,ENCODE
538,DanQ,K562,ZBTB33,ENCODE
539,DanQ,K562,ZBTB7A,ENCODE
540,DanQ,PANC-1,NRSF,ENCODE
541,DanQ,PANC-1,Pol2-4H8,ENCODE
542,DanQ,PANC-1,Sin3Ak-20,ENCODE
543,DanQ,PFSK-1,FOXP2,ENCODE
544,DanQ,PFSK-1,NRSF,ENCODE
545,DanQ,PFSK-1,Sin3Ak-20,ENCODE
546,DanQ,PFSK-1,TAF1,ENCODE
547,DanQ,SK-N-MC,FOXP2,ENCODE
548,DanQ,SK-N-MC,Pol2-4H8,ENCODE
549,DanQ,SK-N-SH,NRSF,ENCODE
550,DanQ,SK-N-SH,NRSF,ENCODE
551,DanQ,SK-N-SH,Pol2-4H8,ENCODE
552,DanQ,SK-N-SH_RA,CTCF,ENCODE
553,DanQ,SK-N-SH_RA,p300,ENCODE
554,DanQ,SK-N-SH_RA,Rad21,ENCODE
555,DanQ,SK-N-SH_RA,USF1,ENCODE
556,DanQ,SK-N-SH_RA,YY1,ENCODE
557,DanQ,SK-N-SH,Sin3Ak-20,ENCODE
558,DanQ,SK-N-SH,TAF1,ENCODE
559,DanQ,T-47D,CTCF,ENCODE
560,DanQ,T-47D,ERalpha,ENCODE
561,DanQ,T-47D,ERalpha,ENCODE
562,DanQ,T-47D,ERalpha,ENCODE
563,DanQ,T-47D,FOXA1,ENCODE
564,DanQ,T-47D,GATA3,ENCODE
565,DanQ,T-47D,p300,ENCODE
566,DanQ,U87,NRSF,ENCODE
567,DanQ,U87,Pol2-4H8,ENCODE
568,DanQ,A549,BHLHE40,ENCODE
